"Final.Status","ID","Year","ACT","GPA","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","App","Deposited","FAFSA.Received","CREDO.Invited","CREDO.Accepted","Regular.Visits.by.Date","Performance.Scholarship.Event","Academic.Scholarship.Event","Other.Admits.Density"
1,"App ID-229073","2016 Fall",20,3.51,2.66,41.554,31.233,89.77,1.16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0640348349502129
0,"App ID-229085","2016 Fall",25,4,91.71,49.515,17.287,94.98,0.27,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0404928559032799
0,"App ID-229114","2016 Fall",26,3.56,244.96,50.987,3.35,82.39,0.03,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0298507462686567
0,"App ID-229126","2016 Fall",20,3.59,243.98,66.667,1.476,95.6,0.07,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0677506775067751
0,"App ID-229153","2016 Fall",18,3.64,383.86,40.384,13.006,95.31,0.53,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0153775180685837
0,"App ID-229216","2016 Fall",22,2.7,443.05,62.25,2.802,98,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0356887937187723
0,"App ID-229218","2016 Fall",24,2.85,453.95,36.738,29.699,77.06,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.00673423347587461
0,"App ID-229248","2016 Fall",24,3.23,526.44,66.715,32.399,88.1,0.01,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.00308651501589555
1,"App ID-229349","2016 Fall",24,3.69,242.43,62.681,21.918,95.6,0.08,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.0136873802354229
0,"App ID-229496","2016 Fall",27,3.9,431.26,46.504,11.56,95.29,0.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0432525951557093
0,"App ID-229530","2016 Fall",19,2.92,689.09,57.602,19.259,96.73,0.08,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.015577132769095
0,"App ID-229749","2016 Fall",29,3.99,115.49,42.316,1.901,95.79,0.47,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.263019463440295
