Application ID,Award Status,Total Discount Rate,Total Institutional Gift,Gross Need,Cobber Edge Award,Priority Cobber Award,Presidential Total,Regents Scholarship Total,Speech Debate Scholarship Total,Theatre Performance Total,Visual Arts Award Total,Music Performance Total
App ID-172590,No Award,0,,24722,0,0,0,0,0,0,0,0
App ID-123596,No Award,0,,40997,0,0,0,0,0,0,0,0
App ID-157590,No Award,0,,40063,0,0,0,0,0,0,0,0
App ID-173878,No Award,0,,,0,0,0,0,0,0,0,0
App ID-172528,No Award,0,,34527,0,0,0,0,0,0,0,0
App ID-161878,No Award,0,,46014,0,0,0,0,0,0,0,0
App ID-152537,No Award,0,,18530,0,0,0,0,0,0,0,0
App ID-162357,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-137390,No Award,0,,10015,0,0,0,0,0,0,0,0
App ID-155949,No Award,0,,21823,0,0,0,0,0,0,0,0
App ID-160857,No Award,0,,36753,0,0,0,0,0,0,0,0
App ID-124253,No Award,0,,5758,0,0,0,0,0,0,0,0
App ID-125329,No Award,0,,43186,0,0,0,0,0,0,0,0
App ID-163890,No Award,0,,15250,0,0,0,0,0,0,0,0
App ID-163029,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-146061,No Award,0,,26471,0,0,0,0,0,0,0,0
App ID-125520,No Award,0,,46180,0,0,0,0,0,0,0,0
App ID-181454,No Award,0,,37987,0,0,0,0,0,0,0,0
App ID-161948,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157743,No Award,0,,39224,0,0,0,0,0,0,0,0
App ID-124622,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-174721,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-141000,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-143776,No Award,0,,20306,0,0,0,0,0,0,0,0
App ID-124620,No Award,0,,38237,0,0,0,0,0,0,0,0
App ID-156518,No Award,0,,14909,0,0,0,0,0,0,0,0
App ID-158228,No Award,0,,21472,0,0,0,0,0,0,0,0
App ID-150367,No Award,0,,7599,0,0,0,0,0,0,0,0
App ID-152569,No Award,0,,,0,0,0,0,0,0,0,0
App ID-153157,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-123576,No Award,0,,27406,0,0,0,0,0,0,0,0
App ID-131205,No Award,0,,41121,0,0,0,0,0,0,0,0
App ID-158578,No Award,0,,22130,0,0,0,0,0,0,0,0
App ID-157848,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-161881,No Award,0,,6832,0,0,0,0,0,0,0,0
App ID-156713,No Award,0,,36309,0,0,0,0,0,0,0,0
App ID-155149,No Award,0,,17799,0,0,0,0,0,0,0,0
App ID-126558,No Award,0,,31245,0,0,0,0,0,0,0,0
App ID-159791,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-123873,No Award,0,,7533,0,0,0,0,0,0,0,0
App ID-122981,No Award,0,,6321,0,0,0,0,0,0,0,0
App ID-146079,No Award,0,,44281,0,0,0,0,0,0,0,0
App ID-162433,No Award,0,,29541,0,0,0,0,0,0,0,0
App ID-163259,No Award,0,,32464,0,0,0,0,0,0,0,0
App ID-140750,No Award,0,,34679,0,0,0,0,0,0,0,0
App ID-124512,No Award,0,,38620,0,0,0,0,0,0,0,0
App ID-137210,No Award,0,,46090,0,0,0,0,0,0,0,0
App ID-157652,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-149815,No Award,0,,41177,0,0,0,0,0,0,0,0
App ID-174033,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-137215,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-174598,No Award,0,,38934,0,0,0,0,0,0,0,0
App ID-154080,No Award,0,,29961,0,0,0,0,0,0,0,0
App ID-164120,No Award,0,,34840,0,0,0,0,0,0,0,0
App ID-124375,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-172579,No Award,0,,39521,0,0,0,0,0,0,0,0
App ID-174608,No Award,0,,,0,0,0,0,0,0,0,0
App ID-145304,No Award,0,,28819,0,0,0,0,0,0,0,0
App ID-157793,No Award,0,,32734,0,0,0,0,0,0,0,0
App ID-149590,No Award,0,,797,0,0,0,0,0,0,0,0
App ID-172587,No Award,0,,45520,0,0,0,0,0,0,0,0
App ID-145441,No Award,0,,38525,0,0,0,0,0,0,0,0
App ID-121715,No Award,0,,21061,0,0,0,0,0,0,0,0
App ID-157789,No Award,0,,45747,0,0,0,0,0,0,0,0
App ID-153263,No Award,0,,31658,0,0,0,0,0,0,0,0
App ID-168822,No Award,0,,32573,0,0,0,0,0,0,0,0
App ID-174722,No Award,0,,42226,0,0,0,0,0,0,0,0
App ID-174706,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-124865,No Award,0,,7114,0,0,0,0,0,0,0,0
App ID-139405,No Award,0,,37998,0,0,0,0,0,0,0,0
App ID-139800,No Award,0,,23133,0,0,0,0,0,0,0,0
App ID-122787,No Award,0,,15552,0,0,0,0,0,0,0,0
App ID-123242,No Award,0,,26194,0,0,0,0,0,0,0,0
App ID-122230,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-138594,No Award,0,,22756,0,0,0,0,0,0,0,0
App ID-161783,No Award,0,,42867,0,0,0,0,0,0,0,0
App ID-156332,No Award,0,,30743,0,0,0,0,0,0,0,0
App ID-163932,No Award,0,,32816,0,0,0,0,0,0,0,0
App ID-124856,No Award,0,,40043,0,0,0,0,0,0,0,0
App ID-164469,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157784,No Award,0,,36972,0,0,0,0,0,0,0,0
App ID-158909,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-161179,No Award,0,,46254,0,0,0,0,0,0,0,0
App ID-154581,No Award,0,,15071,0,0,0,0,0,0,0,0
App ID-154802,No Award,0,,32692,0,0,0,0,0,0,0,0
App ID-134869,No Award,0,,20884,0,0,0,0,0,0,0,0
App ID-174705,No Award,0,,37355,0,0,0,0,0,0,0,0
App ID-155928,No Award,0,,27530,0,0,0,0,0,0,0,0
App ID-136881,No Award,0,,41720,0,0,0,0,0,0,0,0
App ID-155932,No Award,0,,31320,0,0,0,0,0,0,0,0
App ID-174768,No Award,0,,42388,0,0,0,0,0,0,0,0
App ID-168301,No Award,0,,13406,0,0,0,0,0,0,0,0
App ID-171639,No Award,0,,45270,0,0,0,0,0,0,0,0
App ID-156587,No Award,0,,28650,0,0,0,0,0,0,0,0
App ID-127011,No Award,0,,45076,0,0,0,0,0,0,0,0
App ID-176366,No Award,0,,10330,0,0,0,0,0,0,0,0
App ID-161899,No Award,0,,20914,0,0,0,0,0,0,0,0
App ID-157884,No Award,0,,40975,0,0,0,0,0,0,0,0
App ID-177122,No Award,0,,,0,0,0,0,0,0,0,0
App ID-157132,No Award,0,,36532,0,0,0,0,0,0,0,0
App ID-164191,No Award,0,,21725,0,0,0,0,0,0,0,0
App ID-149880,No Award,0,,45054,0,0,0,0,0,0,0,0
App ID-163936,No Award,0,,36564,0,0,0,0,0,0,0,0
App ID-159726,No Award,0,,30401,0,0,0,0,0,0,0,0
App ID-124256,No Award,0,,43027,0,0,0,0,0,0,0,0
App ID-141768,No Award,0,,30999,0,0,0,0,0,0,0,0
App ID-134652,No Award,0,,46054,0,0,0,0,0,0,0,0
App ID-158111,No Award,0,,20677,0,0,0,0,0,0,0,0
App ID-158207,No Award,0,,6019,0,0,0,0,0,0,0,0
App ID-152151,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-157509,No Award,0,,36735,0,0,0,0,0,0,0,0
App ID-139066,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-158220,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-164164,No Award,0,,23089,0,0,0,0,0,0,0,0
App ID-163261,No Award,0,,24868,0,0,0,0,0,0,0,0
App ID-158011,No Award,0,,22815,0,0,0,0,0,0,0,0
App ID-172754,No Award,0,,0,0,0,0,0,0,0,0,0
App ID-174698,No Award,0,,40600,0,0,0,0,0,0,0,0
App ID-173841,No Award,0,,6793,0,0,0,0,0,0,0,0
App ID-164229,No Award,0,,19568,0,0,0,0,0,0,0,0
App ID-157524,No Award,0,,16092,0,0,0,0,0,0,0,0
App ID-138600,No Award,0,,29814,0,0,0,0,0,0,0,0
App ID-164423,No Award,0,,43476,0,0,0,0,0,0,0,0
App ID-171682,No Award,0,,40064,0,0,0,0,0,0,0,0
App ID-162372,No Award,0,,19425,0,0,0,0,0,0,0,0
App ID-145998,No Award,0,,31526,0,0,0,0,0,0,0,0
App ID-122561,No Award,0,,35357,0,0,0,0,0,0,0,0
App ID-171533,No Award,0,,19178,0,0,0,0,0,0,0,0
App ID-159731,No Award,0,,37618,0,0,0,0,0,0,0,0
