"Final.Status","ID","Year","ACT","GPA","HS.Percentile","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
0,"App ID-253360","2016 Fall",0,3.81,79,1,44668,0,0,40906,223.27,65984,28548,0.7984,45,0.0016,NA,0,0,0,0,1,0,0
0,"App ID-253380","2016 Fall",25,3.77,0,1,NA,0,0,0,170.46,57636,4421,0.9851,20,0.0045,NA,0,0,0,1,0,0,1
0,"App ID-253383","2016 Fall",23,2.93,55,1,NA,0,0,0,NA,53432,4368,0.9677,1,2e-04,NA,0,0,0,1,0,0,0
1,"App ID-253388","2016 Fall",24,2.52,24,1,44668,25198,19130,41807,43.46,52268,16639,0.9237,179,0.0108,737,0,0,0,0,1,0,1
0,"App ID-253390","2016 Fall",27,3.81,85,1,NA,0,0,0,813.18,61370,16668,0.9246,19,0.0011,NA,0,0,0,0,0,0,0
0,"App ID-253394","2016 Fall",21,2.72,0,1,44668,7000,7000,0,221.2,81667,4322,0.8929,15,0.0035,NA,0,0,0,1,0,0,1
0,"App ID-253404","2016 Fall",24,3.18,62,1,44668,29601,14000,47758,214.63,49253,38596,0.6629,76,0.002,NA,0,0,0,0,0,0,0
0,"App ID-253405","2016 Fall",29,3.36,0,1,NA,0,0,0,213.02,79660,25780,0.8702,105,0.0041,1671,0,0,0,1,0,0,1
1,"App ID-253454","2016 Fall",20,2.4,28,1,44668,26261,10510,47758,123.09,43065,1876,0.9211,6,0.0032,156,0,1,0,1,0,0,0
0,"App ID-253473","2016 Fall",19,2.5,36,1,44668,22400,22400,32455,369.93,67758,34752,0.8954,38,0.0011,NA,0,0,0,0,0,1,1
0,"App ID-253475","2016 Fall",22,3.61,99,1,NA,0,0,0,197.62,41546,3864,0.7324,1,3e-04,NA,0,0,0,0,1,0,1
1,"App ID-253476","2016 Fall",19,2.93,45,1,44668,0,0,29466,149.68,49000,1731,0.9613,NA,NA,NA,0,0,0,0,0,0,1
1,"App ID-253488","2016 Fall",26,3.56,0,1,44668,18000,18000,0,210.08,119858,30143,0.8417,142,0.0047,NA,0,0,0,1,0,0,1
1,"App ID-253502","2016 Fall",21,3.64,76,1,44668,18000,18000,13902,104.45,49167,2309,0.9857,25,0.0108,NA,0,0,0,1,0,0,1
0,"App ID-253504","2016 Fall",25,3.91,0,1,NA,0,0,0,370.97,51409,18916,0.9406,2,1e-04,NA,0,0,0,1,0,0,1
1,"App ID-253507","2016 Fall",22,3.21,0,1,44668,0,0,0,289.64,44397,41715,0.9238,9,2e-04,NA,0,0,0,1,0,0,1
1,"App ID-253509","2016 Fall",0,2.2,0,1,NA,0,0,0,51.75,49280,18677,0.9706,192,0.0103,NA,0,0,0,1,0,1,1
0,"App ID-253514","2016 Fall",18,2.84,32,1,44668,20446,10510,47758,199.56,79123,13073,0.9665,58,0.0044,996,0,0,0,0,0,0,0
0,"App ID-253517","2016 Fall",23,3.56,70,1,NA,0,0,0,73.7,49018,36448,0.906,163,0.0045,NA,0,0,0,0,0,1,1
0,"App ID-253557","2016 Fall",0,3.31,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1
1,"App ID-253559","2016 Fall",32,3.98,95,1,44668,33421,16000,0,0.64,53139,41737,0.9084,951,0.0228,1356,1,0,0,1,0,1,1
0,"App ID-253580","2016 Fall",19,3.62,73,1,NA,0,0,0,718.55,65109,25380,0.9467,19,7e-04,NA,0,0,0,0,0,1,1
1,"App ID-253581","2016 Fall",21,2.75,8,1,44668,0,0,47758,32.3,45057,2297,0.9591,24,0.0104,156,0,0,0,1,1,1,1
0,"App ID-253992","2016 Fall",24,3.44,60,1,NA,0,0,0,392.3,47347,22495,0.8935,NA,NA,NA,0,0,0,1,1,0,0
0,"App ID-253994","2016 Fall",24,2.75,36,1,NA,0,0,0,226.07,49517,18431,0.9334,10,5e-04,NA,0,0,0,1,0,1,1
0,"App ID-254063","2016 Fall",26,3.96,92,1,NA,0,0,0,610.59,44896,12525,0.8529,15,0.0012,NA,0,0,0,0,1,0,1
0,"App ID-254064","2016 Fall",23,2.59,36,1,NA,0,0,0,253.1,65632,6591,0.9818,5,8e-04,62,0,0,0,1,0,0,1
0,"App ID-254067","2016 Fall",0,3.64,0,1,NA,0,0,0,NA,43781,33277,0.8257,NA,NA,NA,1,0,0,1,0,0,1
1,"App ID-254070","2016 Fall",21,3.65,71,1,44668,19080,19080,21200,89.8,50063,1331,0.994,9,0.0068,1126,0,0,0,1,0,1,1
0,"App ID-254071","2016 Fall",20,3.56,76,1,NA,0,0,0,NA,49064,30780,0.7988,NA,NA,NA,0,0,0,0,1,0,1
0,"App ID-254074","2016 Fall",18,2.6,38,1,NA,0,0,0,221.54,43127,56467,0.4714,37,7e-04,NA,0,0,0,1,1,0,0
0,"App ID-254095","2016 Fall",26,2.99,51,1,NA,0,0,0,152.83,54983,16440,0.9509,28,0.0017,1078,0,0,0,0,0,1,1
0,"App ID-254100","2016 Fall",28,3.37,52,1,NA,0,0,0,248.62,52681,12728,0.9269,12,9e-04,522,0,0,0,1,0,0,1
0,"App ID-254102","2016 Fall",23,3.29,68,1,NA,0,0,0,376.69,50574,26354,0.9445,NA,NA,NA,0,0,0,1,0,0,1
0,"App ID-254103","2016 Fall",24,3.54,64,1,NA,0,0,0,73.7,49018,36448,0.906,163,0.0045,NA,0,0,0,1,1,0,1
0,"App ID-254109","2016 Fall",17,3.45,51,1,44668,0,0,47694,117.03,53818,7935,0.9442,29,0.0037,NA,0,0,0,1,0,0,1
0,"App ID-254328","2016 Fall",26,2.28,16,0,NA,0,0,0,685.03,55487,27373,0.9171,23,8e-04,NA,0,0,0,1,0,0,0
0,"App ID-254330","2016 Fall",22,2.92,62,0,44668,0,0,47013,608.12,62515,45636,0.9113,8,2e-04,NA,0,0,0,1,1,0,1
0,"App ID-254334","2016 Fall",23,3.45,70,0,44668,14000,14000,0,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,1,1
1,"App ID-254335","2016 Fall",17,2.49,33,0,44668,22400,22400,34146,140.9,57500,5552,0.9618,40,0.0072,374,0,0,0,0,0,0,0
0,"App ID-254624","2016 Fall",0,3.53,0,1,NA,0,0,0,NA,80164,14124,0.9124,NA,NA,NA,0,0,0,0,0,0,1
0,"App ID-254769","2016 Fall",16,3.54,78,1,44668,0,0,47758,217.48,47706,45495,0.6348,82,0.0018,NA,0,0,0,0,1,0,1
0,"App ID-254771","2016 Fall",33,3.98,97,1,44668,17000,17000,6265,207.93,64179,28585,0.8073,93,0.0033,1789,0,0,0,1,0,1,1
0,"App ID-255245","2016 Fall",22,3.11,0,1,NA,0,0,0,213,118292,9002,0.8598,26,0.0029,NA,0,0,0,1,0,0,0
0,"App ID-255443","2016 Fall",21,3.5,74,1,NA,0,0,0,196.64,52650,2878,0.9764,3,0.001,NA,0,1,0,0,0,0,0
0,"App ID-255998","2016 Fall",17,3.11,91,1,NA,0,0,0,104.86,29115,3279,0.0284,NA,NA,NA,0,0,0,0,1,0,0
0,"App ID-256141","2016 Fall",21,3.49,67,1,NA,0,0,0,198.7,70000,2913,0.8465,6,0.0021,NA,0,0,0,1,0,0,0
0,"App ID-256364","2016 Fall",24,3.51,74,1,NA,0,0,0,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,0,0,0,1
1,"App ID-256374","2016 Fall",21,2.24,19,1,NA,0,0,0,208.79,102603,16443,0.8942,62,0.0038,1638,0,1,0,0,1,0,1
0,"App ID-257078","2016 Fall",19,2.6,45,1,NA,0,0,0,214.63,49253,38596,0.6629,76,0.002,NA,0,0,0,0,1,0,1
1,"App ID-257916","2016 Fall",15,2.5,25,1,NA,0,0,0,238.96,70281,29612,0.9469,35,0.0012,1452,0,0,0,1,0,0,1
0,"App ID-258129","2016 Fall",17,2.91,47,1,NA,0,0,0,2.52,42616,48506,0.8627,521,0.0107,6335,0,0,0,1,0,0,1
0,"App ID-258140","2016 Fall",29,3.14,47,1,NA,0,0,0,314.93,45297,35462,0.9476,23,6e-04,NA,0,0,0,0,0,0,1
0,"App ID-258142","2016 Fall",21,3.52,81,1,NA,0,0,0,220.11,52092,32153,0.7625,32,0.001,1671,0,0,0,0,1,0,0
0,"App ID-258146","2016 Fall",27,3.55,59,1,NA,0,0,0,174.49,61105,5464,0.9434,16,0.0029,557,0,0,0,1,0,0,0
0,"App ID-258147","2016 Fall",17,2.82,41,1,NA,0,0,0,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,0,0,1,1
0,"App ID-258423","2016 Fall",20,3.52,75,1,NA,0,0,0,215.68,59464,32976,0.7974,87,0.0026,NA,0,0,0,0,1,0,1
0,"App ID-258429","2016 Fall",20,2.75,0,1,44668,7000,7000,31612,128.09,48178,29469,0.9582,105,0.0036,NA,0,0,0,0,0,0,0
0,"App ID-262130","2016 Fall",19,3.25,59,0,NA,0,0,0,NA,47606,23774,0.6042,NA,NA,NA,1,0,0,0,1,0,0
1,"App ID-262132","2016 Fall",21,3.43,65,0,NA,0,0,0,363.78,42651,7533,0.9639,2,3e-04,NA,0,0,0,1,0,0,0
0,"App ID-262520","2016 Fall",26,3.9,83,1,44668,0,0,19240,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,1
1,"App ID-262817","2016 Fall",26,2.16,0,1,NA,0,0,0,217.15,73103,25794,0.8209,98,0.0038,NA,0,0,0,0,0,0,0
0,"App ID-263201","2016 Fall",25,3.47,74,1,NA,0,0,0,809.27,53659,7677,0.9776,7,9e-04,78,0,0,0,1,0,0,1
