"Final.Status","ID","Year","ACT","GPA","Royal15","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Density","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","ACT.High","ACT.Low","GPA.High","GPA.Low","Distance.High","Distance.Low"
0,"App ID-75854","2014 Fall",25,3.49,0,41.36,53324,9050,0.9303,0.0044,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"App ID-75855","2014 Fall",24,3.56,0,41.36,53324,9050,0.9303,0.0044,0,0,0,0,0,0,1,0,1,0,0,0,1
1,"App ID-75857","2014 Fall",24,3.6,0,2.52,42616,48506,0.8627,0.0107,0,0,0,1,0,0,1,0,1,0,0,0,1
0,"App ID-75858","2014 Fall",26,3.81,0,6.17,69383,28728,0.9095,0.0108,0,1,0,0,0,1,1,0,0,0,0,0,1
0,"App ID-75859","2014 Fall",23,3.43,0,10.18,89458,3858,0.987,0.014,0,1,0,0,0,1,1,0,1,0,0,0,1
0,"App ID-75860","2014 Fall",23,3.73,0,10.22,88438,1558,0.9949,0.0096,0,0,0,1,0,1,1,0,1,0,0,0,1
1,"App ID-75861","2014 Fall",32,3.77,0,6.17,69383,28728,0.9095,0.0108,1,0,0,0,0,0,0,1,0,0,0,0,1
0,"App ID-75862","2014 Fall",25,3.95,0,6.17,69383,28728,0.9095,0.0108,0,1,0,0,0,0,1,0,0,1,0,0,1
0,"App ID-75863","2014 Fall",24,3.19,0,6.17,69383,28728,0.9095,0.0108,1,0,0,1,0,0,0,0,1,0,0,0,1
0,"App ID-75864","2014 Fall",24,3.68,0,6.17,69383,28728,0.9095,0.0108,0,0,0,0,0,1,1,0,1,0,0,0,1
1,"App ID-75867","2014 Fall",23,3.38,0,6.17,69383,28728,0.9095,0.0108,0,0,0,1,0,1,1,0,1,0,0,0,1
1,"App ID-75868","2014 Fall",29,3.8,0,90.8,67750,289,1,0.006,0,0,0,0,0,0,1,0,0,0,0,0,0
0,"App ID-75869","2014 Fall",25,3.84,0,831.46,48405,50401,0.8844,1e-04,0,0,0,0,0,1,1,0,0,0,0,1,0
0,"App ID-75872","2014 Fall",30,4,0,152.83,52693,32895,0.849,0.0019,1,0,0,0,0,0,1,1,0,1,0,0,0
1,"App ID-75873","2014 Fall",32,3.72,0,127.08,51473,31027,0.915,8e-04,1,0,0,1,0,0,1,1,0,0,0,0,0
0,"App ID-75874","2014 Fall",29,3.83,0,127.08,51473,31027,0.915,8e-04,1,0,0,0,0,1,1,0,0,0,0,0,0
