"Application ID","Award Status","Comprehensive Cost","Total Gift","Total Institutional Gift","Gross Need"
"App ID-75440","Award Complete","41484.00","17740.00","16500.00","20871.00"
"App ID-75452","Award Complete","41484.00","22410.00","22410.00","23598.00"
"App ID-75706","Award Complete","41484.00","26830.00","26830.00","37270.00"
"App ID-75222","Award Complete","41484.00","19250.00","19250.00","27365.00"
"App ID-75557","Award Complete","41484.00","27054.00","22670.00","35729.00"
"App ID-75634","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75678","Award Complete","41484.00","17500.00","17500.00","14045.00"
"App ID-75262","Award Complete","41484.00","22500.00","22500.00","26761.00"
"App ID-75921","Award Complete","41484.00","22220.00","22220.00","24693.00"
"App ID-129490","Award Complete","41484.00","13500.00","13500.00","18271.00"
"App ID-75683","No Award","41484.00","0.00","","29296.00"
"App ID-75647","No Award","41484.00","0.00","","40473.00"
"App ID-75374","Award Complete","41484.00","20090.00","20090.00","23639.00"
"App ID-75402","Award Complete","41484.00","11500.00","11500.00","0.00"
"App ID-75082","No Award","41484.00","0.00","","44674.00"
"App ID-75704","Award Complete","41484.00","22500.00","22500.00","0.00"
"App ID-75693","Award Complete","41484.00","23476.00","23370.00","33393.00"
"App ID-75688","Award Complete","41484.00","13500.00","13500.00","11571.00"
"App ID-75540","Award Complete","41484.00","22840.00","22840.00","32636.00"
"App ID-75103","Award Complete","41484.00","23760.00","23760.00","33001.00"
"App ID-75109","Award Complete","41484.00","28096.00","19920.00","41799.00"
"App ID-75510","Award Complete","41484.00","32500.00","32500.00","0.00"
"App ID-75509","Award Complete","41484.00","27038.00","20690.00","38911.00"
"App ID-75834","Award Complete","41484.00","35070.00","35070.00","32469.00"
"App ID-75248","Award Complete","41484.00","21500.00","21500.00","19105.00"
"App ID-75843","Award Complete","41484.00","16000.00","16000.00","0.00"
"App ID-75696","No Award","41484.00","0.00","","42291.00"
"App ID-75094","Award Complete","41484.00","24640.00","24640.00","37752.00"
"App ID-75426","Award Complete","41484.00","17000.00","17000.00","17002.00"
"App ID-75844","No Award","41484.00","0.00","","0.00"
"App ID-75436","Award Complete","41484.00","20000.00","20000.00","17779.00"
"App ID-75767","Award Complete","41484.00","24630.00","24630.00","34217.00"
"App ID-75208","Award Complete","41484.00","13500.00","13500.00","7721.00"
"App ID-75229","Award Complete","41484.00","17500.00","17500.00","17209.00"
"App ID-75225","Award Complete","41484.00","30024.00","16500.00","44674.00"
"App ID-75621","Award Complete","41484.00","23750.00","23750.00","29032.00"
"App ID-75808","Award Complete","41484.00","32500.00","32500.00","0.00"
"App ID-75771","Award Complete","41484.00","20000.00","20000.00","0.00"
"App ID-75879","Award Complete","41484.00","27040.00","27040.00","37558.00"
"App ID-75251","Award Complete","41484.00","17000.00","17000.00","15669.00"
"App ID-75925","Award Complete","41484.00","19070.00","19070.00","24017.00"
"App ID-75667","Award Complete","41484.00","16000.00","16000.00","12454.00"
"App ID-75527","No Award","41484.00","0.00","","26602.00"
"App ID-75388","No Award","41484.00","0.00","","32898.00"
"App ID-75587","Award Complete","41484.00","6590.00","6590.00","9693.00"
"App ID-75513","Award Complete","41484.00","41994.00","27250.00","44474.00"
"App ID-75360","Award Complete","41484.00","21580.00","21580.00","31737.00"
"App ID-75618","Award Complete","41484.00","25660.00","23520.00","35512.00"
"App ID-75487","Award Complete","41484.00","21150.00","20250.00","33977.00"
"App ID-75535","Award Complete","41484.00","17500.00","17500.00","3625.00"
"App ID-75240","Award Complete","41484.00","13500.00","13500.00","30059.00"
"App ID-75315","Award Complete","41484.00","20000.00","20000.00","19295.00"
"App ID-75224","No Award","41484.00","0.00","","42221.00"
"App ID-75751","Award Complete","41484.00","20000.00","20000.00","3523.00"
"App ID-75817","Award Complete","41484.00","17500.00","17500.00","13498.00"
"App ID-75401","Award Complete","41484.00","14500.00","14500.00","3670.00"
"App ID-75194","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75298","Award Complete","41484.00","23652.00","23150.00","33771.00"
"App ID-75639","Award Complete","41484.00","13500.00","13500.00","0.00"
"App ID-75280","Award Complete","41484.00","18450.00","18450.00","30164.00"
"App ID-75899","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75443","Award Complete","41484.00","18600.00","18600.00","25692.00"
"App ID-75379","Award Complete","41484.00","26178.00","20780.00","38984.00"
"App ID-75576","Award Complete","41484.00","40750.00","40750.00","27040.00"
"App ID-75551","Award Complete","41484.00","16500.00","16500.00","0.00"
"App ID-75515","Award Complete","41484.00","44164.00","37000.00","40559.00"
"App ID-75878","Award Complete","41484.00","26210.00","26210.00","36403.00"
"App ID-75199","Award Complete","41484.00","26276.00","22300.00","37407.00"
"App ID-75420","Award Complete","41484.00","30824.00","23520.00","38750.00"
"App ID-75609","Award Complete","41484.00","11500.00","11500.00","0.00"
"App ID-75656","No Award","41484.00","0.00","","41614.00"
"App ID-75483","No Award","41484.00","0.00","","44206.00"
"App ID-75359","Award Complete","41484.00","16310.00","16310.00","27177.00"
"App ID-75118","Award Complete","41484.00","16440.00","16440.00","24187.00"
"App ID-75438","Award Complete","41484.00","23006.00","16980.00","40656.00"
"App ID-75503","Award Complete","41484.00","26204.00","22750.00","36408.00"
"App ID-75625","Award Complete","41484.00","28500.00","28500.00","0.00"
"App ID-75898","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75441","No Award","41484.00","0.00","","35744.00"
"App ID-75606","Award Complete","41484.00","0.00","0.00","33322.00"
"App ID-75331","Award Complete","41484.00","30564.00","20720.00","43537.00"
"App ID-75409","Award Complete","41484.00","18630.00","18630.00","20707.00"
"App ID-75450","Award Complete","41484.00","42542.00","37290.00","38615.00"
"App ID-75824","Award Complete","41484.00","22500.00","22500.00","31974.00"
"App ID-75200","Award Complete","41484.00","20200.00","20200.00","29717.00"
"App ID-75619","Award Complete","41484.00","26948.00","21670.00","38363.00"
"App ID-75640","Award Complete","41484.00","20640.00","20640.00","21736.00"
"App ID-75942","Award Complete","41484.00","25080.00","21290.00","22419.00"
"App ID-75857","Award Complete","41484.00","22840.00","22840.00","33600.00"
"App ID-75806","Award Complete","41484.00","17500.00","17500.00","0.00"
"App ID-75351","Award Complete","41484.00","21342.00","20080.00","34276.00"
