"zip","distance","Median.Income","Total","White","Pct.White","Alumni.Pop","Alumni.Density"
"",NA,NA,NA,NA,NA,4,NA
"01776",NA,169505,18197,16180,0.8892,NA,NA
"01778",NA,141083,13421,11675,0.8699,NA,NA
"01801",NA,79034,39315,33660,0.8562,NA,NA
"01803",NA,95465,25190,20137,0.7994,NA,NA
"01810",1282.36,125321,34251,28758,0.8396,NA,NA
"01821",NA,91605,31157,28585,0.9175,NA,NA
"01824",NA,103411,25582,23043,0.9008,NA,NA
"01826",NA,76879,30315,26824,0.8848,NA,NA
"01827",NA,116125,3299,3131,0.9491,NA,NA
"01830",NA,55237,26415,21614,0.8182,NA,NA
"01832",NA,60351,22137,18268,0.8252,NA,NA
"01833",NA,106898,8379,8049,0.9606,NA,NA
"01834",NA,92898,6805,6658,0.9784,NA,NA
"01835",NA,74156,13217,11833,0.8953,NA,NA
"01840",NA,18140,4799,1654,0.3447,NA,NA
"01841",NA,32367,47125,16965,0.36,NA,NA
"01843",NA,43920,25440,10447,0.4107,NA,NA
"01844",NA,68587,48159,38145,0.7921,NA,NA
"01845",NA,100544,28963,25433,0.8781,NA,NA
"01850",NA,51556,16198,10606,0.6548,NA,NA
"01851",NA,52031,30379,13187,0.4341,NA,NA
"01852",NA,48690,32735,20957,0.6402,NA,NA
"01854",NA,42948,29214,17168,0.5877,NA,NA
"01860",NA,80508,6536,6505,0.9953,NA,NA
"01862",NA,98305,10904,9716,0.891,NA,NA
"01863",NA,74695,8913,7906,0.887,NA,NA
"01864",NA,112419,15249,13780,0.9037,NA,NA
"01867",NA,104472,24687,23084,0.9351,NA,NA
"01876",NA,88794,29103,27245,0.9362,NA,NA
"01879",NA,93108,11867,10856,0.9148,NA,NA
"01880",NA,85694,25460,24069,0.9454,NA,NA
"01886",NA,125143,22854,18764,0.821,NA,NA
"01887",NA,100536,22907,21189,0.925,NA,NA
"01890",NA,141829,21863,18803,0.86,NA,NA
"01901",NA,22614,1807,849,0.4698,NA,NA
"01902",NA,37786,46119,21418,0.4644,NA,NA
"01904",NA,81258,18053,14602,0.8088,NA,NA
"01905",NA,47694,25269,12585,0.498,NA,NA
"01906",NA,76141,27369,25444,0.9297,NA,NA
"01907",NA,96510,14123,13472,0.9539,NA,NA
"01908",NA,65083,3451,3278,0.9499,NA,NA
"01913",NA,76463,16554,15553,0.9395,NA,NA
"01915",NA,73980,40370,38011,0.9416,NA,NA
"01921",NA,127813,8105,7597,0.9373,NA,NA
"01922",NA,111806,2649,2595,0.9796,NA,NA
"01923",NA,77404,26963,25389,0.9416,NA,NA
"01929",NA,89185,3580,3477,0.9712,NA,NA
"01930",NA,60229,29237,28054,0.9595,NA,NA
"01937",NA,NA,112,105,0.9375,NA,NA
"01938",NA,77901,13480,13208,0.9798,NA,NA
"01940",NA,109099,12704,11839,0.9319,NA,NA
"01944",NA,89313,5247,5133,0.9783,NA,NA
"01945",NA,100709,20163,19616,0.9729,NA,NA
"01949",NA,105646,9273,7860,0.8476,NA,NA
"01950",NA,83149,17662,17048,0.9652,NA,NA
"01951",NA,90969,4145,4089,0.9865,NA,NA
"01952",NA,75995,8495,8057,0.9484,NA,NA
"01960",NA,62137,51597,45849,0.8886,NA,NA
"01966",NA,70288,7078,6807,0.9617,NA,NA
"01969",NA,85994,5995,5882,0.9812,NA,NA
"01970",NA,58937,42151,33918,0.8047,NA,NA
"01982",NA,108558,8098,7342,0.9066,NA,NA
"01983",NA,121157,6286,5943,0.9454,NA,NA
"01984",NA,116875,5039,4759,0.9444,NA,NA
"01985",NA,122969,4370,4306,0.9854,NA,NA
"02019",NA,87417,16564,15676,0.9464,NA,NA
"02021",NA,90878,22036,18644,0.8461,NA,NA
"02025",NA,117679,8100,7991,0.9865,NA,NA
"02026",NA,85558,25111,21672,0.863,NA,NA
"02030",NA,176250,5727,4972,0.8682,NA,NA
"02032",NA,81513,4103,3546,0.8642,NA,NA
"02035",NA,94538,17129,16017,0.9351,NA,NA
"02038",NA,101980,32393,30195,0.9321,NA,NA
"02043",NA,103350,22550,21656,0.9604,NA,NA
"02045",NA,77440,10324,9755,0.9449,NA,NA
"02047",NA,NA,125,125,1,NA,NA
"02048",NA,93082,23389,20630,0.882,NA,NA
"02050",NA,88750,25543,24330,0.9525,NA,NA
"02052",NA,143641,12236,11307,0.9241,NA,NA
"02053",NA,109841,12965,12170,0.9387,NA,NA
"02054",NA,96773,8007,7688,0.9602,NA,NA
"02056",NA,143682,11407,9985,0.8753,NA,NA
"02061",NA,110671,10651,10262,0.9635,NA,NA
"02062",1292.74,79963,28844,24274,0.8416,NA,NA
"02066",NA,104275,18002,17057,0.9475,NA,NA
"02067",NA,126773,17703,13409,0.7574,NA,NA
"02071",NA,121635,1911,1467,0.7677,NA,NA
"02072",NA,74688,27833,22855,0.8211,NA,NA
"02081",NA,90470,18855,17653,0.9363,NA,NA
