"ID","Date.App.Submitted","Date.App.Completed","Date.Deposited","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received"
"App ID-244503","2016-01-04","2016-01-22",NA,NA,NA,NA,NA
"App ID-244505","2016-01-04","2016-01-29",NA,"2016-03-04","2016-03-15",NA,NA
"App ID-244508","2016-01-04","2016-01-06",NA,NA,NA,NA,NA
"App ID-244510","2016-01-04","2016-01-25",NA,NA,NA,NA,NA
"App ID-244512","2016-01-04","2016-01-13",NA,NA,NA,NA,NA
"App ID-244513","2016-01-04","2016-02-22",NA,NA,NA,NA,NA
"App ID-244517","2016-01-04","2016-01-08",NA,NA,NA,NA,NA
"App ID-244518","2016-01-04","2016-02-05",NA,"2016-03-14",NA,NA,NA
"App ID-244519","2016-01-04","2016-02-01",NA,NA,NA,NA,NA
"App ID-244522","2016-01-04","2016-01-20","2016-04-25","2016-04-06","2016-04-06",NA,NA
"App ID-244524","2016-01-04","2016-01-06",NA,"2016-04-14","2016-04-14",NA,NA
"App ID-244529","2016-01-04",NA,NA,NA,NA,NA,NA
"App ID-244530","2016-01-04","2016-04-04",NA,NA,NA,NA,NA
"App ID-244531","2016-01-04","2016-01-21",NA,NA,NA,NA,NA
"App ID-244535","2016-01-04","2016-01-29","2016-04-15","2016-04-15",NA,NA,NA
"App ID-244536","2016-01-04","2016-01-08",NA,NA,NA,NA,NA
"App ID-244537","2016-01-04","2016-01-18",NA,"2016-03-24",NA,NA,NA
"App ID-244539","2016-01-04","2016-01-08",NA,NA,NA,NA,NA
"App ID-244541","2016-01-04","2016-01-19",NA,NA,NA,NA,NA
"App ID-244542","2016-01-04","2016-02-29",NA,NA,NA,NA,NA
"App ID-244545","2016-01-04","2016-01-20",NA,"2016-02-25","2016-03-14",NA,NA
"App ID-244546","2016-01-04","2016-01-28",NA,NA,NA,NA,NA
"App ID-244547","2016-01-04","2016-01-05",NA,NA,NA,NA,NA
"App ID-244548","2016-01-04","2016-01-12",NA,"2016-03-01","2016-03-15",NA,NA
"App ID-244551","2016-01-04","2016-01-07",NA,NA,"2016-04-05",NA,NA
"App ID-244553","2016-01-04","2016-01-27",NA,NA,NA,NA,NA
"App ID-244554","2016-01-04","2016-01-06",NA,NA,NA,NA,NA
"App ID-244555","2016-01-04","2016-01-04",NA,"2016-03-02","2016-03-15",NA,NA
"App ID-244557","2016-01-04","2016-01-18",NA,NA,NA,NA,NA
"App ID-244560","2016-01-04","2016-02-01",NA,"2016-02-10",NA,NA,NA
"App ID-244563","2016-01-04","2016-01-05",NA,NA,"2016-04-05",NA,NA
"App ID-244568","2016-01-04","2016-01-05",NA,NA,NA,NA,NA
"App ID-244569","2016-01-04","2016-01-05",NA,"2016-03-01","2016-04-07","2016-02-01",NA
"App ID-244570","2016-01-04","2016-01-14",NA,"2016-02-18","2016-03-11","2016-02-01",NA
"App ID-244572","2016-01-04","2016-01-12",NA,"2016-02-05","2016-03-08",NA,NA
"App ID-244573","2016-01-04","2016-01-05",NA,NA,NA,NA,NA
"App ID-244574","2016-01-04","2016-01-25",NA,NA,NA,NA,NA
"App ID-244575","2016-01-04","2016-01-26","2016-03-01",NA,NA,NA,NA
"App ID-244576","2016-01-04","2016-02-01",NA,NA,NA,NA,NA
"App ID-244577","2016-01-04","2016-01-21",NA,"2016-04-15",NA,NA,NA
"App ID-244578","2016-01-04","2016-01-11",NA,NA,NA,NA,NA
"App ID-244579","2016-01-04","2016-01-04",NA,NA,NA,NA,NA
"App ID-244581","2016-01-04","2016-01-11",NA,NA,NA,NA,NA
"App ID-244582","2016-01-04","2016-01-04",NA,"2016-02-05","2016-03-09",NA,NA
"App ID-244583","2016-01-04",NA,NA,NA,NA,NA,NA
"App ID-244585","2016-01-04","2016-01-11",NA,NA,NA,NA,NA
"App ID-244586","2016-01-04","2016-01-21",NA,NA,NA,NA,NA
"App ID-244588","2016-01-04","2016-01-22",NA,"2016-02-24","2016-03-14",NA,NA
"App ID-244590","2016-01-04","2016-02-03",NA,"2016-02-04","2016-03-04",NA,NA
"App ID-244591","2016-01-04","2016-01-05",NA,NA,NA,NA,NA
"App ID-244593","2016-01-04","2016-01-11","2016-02-09","2016-04-12","2016-04-12",NA,NA
"App ID-244596","2016-01-04","2016-02-03",NA,"2016-02-19",NA,NA,NA
"App ID-244605","2016-01-14","2016-01-22",NA,NA,NA,NA,NA
"App ID-244617","2016-01-04","2016-01-04",NA,"2016-02-05",NA,NA,NA
"App ID-244623","2016-01-05","2016-01-14",NA,NA,NA,NA,NA
"App ID-244644","2016-01-05","2016-01-20","2016-02-02","2016-02-04",NA,NA,NA
"App ID-244645","2016-01-05","2016-01-06",NA,NA,NA,NA,NA
"App ID-244652","2016-01-05","2016-01-08",NA,NA,NA,NA,NA
"App ID-244663","2016-01-08","2016-02-03",NA,NA,NA,NA,NA
"App ID-244680","2016-01-20","2016-01-20","2016-02-24","2016-03-01","2016-03-15","2016-02-01",NA
"App ID-245651","2016-02-01","2016-02-01",NA,"2016-03-01","2016-03-22",NA,NA
"App ID-246552","2016-01-08","2016-01-08","2016-02-18","2016-02-05","2016-03-04","2016-02-01","2016-02-18"
"App ID-246573","2016-01-08","2016-01-13","2016-04-22","2016-04-25",NA,NA,NA
"App ID-246574","2016-01-08","2016-01-18",NA,NA,NA,NA,NA
"App ID-246578","2016-01-08","2016-01-08","2016-03-17",NA,NA,NA,NA
"App ID-246580","2016-01-08","2016-01-11","2016-04-21","2016-02-25",NA,"2016-02-01",NA
"App ID-246586","2016-01-08","2016-01-21",NA,NA,NA,NA,NA
"App ID-246588","2016-01-08","2016-01-27",NA,"2016-03-03","2016-03-15",NA,NA
"App ID-246591","2016-01-08","2016-01-18",NA,NA,NA,NA,NA
"App ID-247061","2016-01-21","2016-01-21",NA,"2016-02-25","2016-03-14",NA,NA
"App ID-247066","2016-01-11","2016-01-12",NA,NA,NA,NA,NA
"App ID-247070","2016-01-11","2016-01-11",NA,NA,NA,NA,NA
"App ID-247073","2016-01-11","2016-01-25",NA,"2016-02-05",NA,"2016-02-01",NA
"App ID-247096","2016-01-12","2016-01-12",NA,NA,NA,NA,NA
"App ID-247100","2016-01-12",NA,NA,NA,NA,NA,NA
"App ID-247101","2016-01-12","2016-01-13",NA,NA,NA,NA,NA
"App ID-247103","2016-01-12","2016-01-14",NA,NA,NA,NA,NA
"App ID-247141","2016-01-13","2016-01-20",NA,NA,NA,NA,NA
"App ID-247145","2016-01-13","2016-01-14",NA,NA,NA,NA,NA
"App ID-247152","2016-01-14","2016-01-26",NA,NA,NA,NA,NA
