"zip","distance","Median.Income","Total","White","Pct.White"
"02356",NA,106989,12923,12010,0.9294
"02357",NA,NA,938,795,0.8475
"02359",NA,89954,18006,17233,0.9571
"02360",NA,76925,57275,53573,0.9354
"02364",NA,86339,12846,12145,0.9454
"02366",NA,NA,139,65,0.4676
"02367",NA,94505,2840,2778,0.9782
"02368",NA,63325,33265,13621,0.4095
"02370",NA,66860,17616,16248,0.9223
"02375",NA,86695,9687,8590,0.8868
"02379",NA,81573,6981,6189,0.8865
"02382",NA,76494,14643,14012,0.9569
"02420",NA,137109,13947,10242,0.7344
"02421",NA,138202,18359,13436,0.7318
"02445",NA,95895,20723,16395,0.7911
"02446",NA,79289,28796,22269,0.7733
"02451",NA,81182,17454,13274,0.7605
"02452",NA,74289,15495,11434,0.7379
"02453",NA,67721,28959,21793,0.7525
"02457",NA,NA,1334,920,0.6897
"02458",NA,91672,12093,9731,0.8047
"02459",NA,135685,18519,14089,0.7608
"02460",NA,103800,9591,8093,0.8438
"02461",NA,131125,7099,5216,0.7348
"02462",NA,83500,1306,1091,0.8354
"02464",NA,87428,2868,2093,0.7298
"02465",NA,131853,11499,9390,0.8166
"02466",NA,105106,8973,6932,0.7725
"02467",NA,113146,23724,18624,0.785
"02468",NA,203009,5374,4408,0.8202
"02472",NA,86522,32943,27639,0.839
"02474",NA,89466,27113,22911,0.845
"02476",NA,97647,16615,14347,0.8635
"02478",NA,106172,25110,20671,0.8232
"02481",NA,177083,16320,13659,0.8369
"02482",NA,139811,11204,9509,0.8487
"02492",NA,138734,20163,18191,0.9022
"02493",NA,201200,11704,9705,0.8292
"02494",NA,112115,9377,7937,0.8464
"02532",NA,61325,11857,11246,0.9485
"02534",NA,72069,988,882,0.8927
"02535",NA,66875,1268,1061,0.8368
"02536",NA,62924,19060,16622,0.8721
"02537",NA,81892,6301,6111,0.9698
"02538",NA,58814,3294,3178,0.9648
"02539",NA,56911,4186,4027,0.962
"02540",NA,61417,8710,7688,0.8827
"02542",NA,45970,1069,670,0.6268
"02543",NA,63828,806,797,0.9888
"02553",NA,42341,191,191,1
"02554",NA,86766,10154,8529,0.84
"02556",NA,90399,3021,2866,0.9487
"02557",NA,80225,4599,4330,0.9415
"02558",NA,43900,1538,1187,0.7718
"02559",NA,67759,4174,3880,0.9296
"02561",NA,88242,496,496,1
"02562",NA,66579,3128,3104,0.9923
"02563",NA,82238,9972,9677,0.9704
"02564",NA,83583,249,225,0.9036
"02568",NA,42727,4036,3785,0.9378
"02571",NA,57750,10490,8912,0.8496
"02575",NA,73843,2727,2673,0.9802
"02576",NA,81120,5032,4308,0.8561
"02584",NA,NA,11,11,1
"02601",NA,40385,14252,11495,0.8066
"02630",NA,61713,2265,2211,0.9762
"02631",NA,66389,9736,9544,0.9803
"02632",NA,64286,11294,10776,0.9541
"02633",NA,59545,3846,3454,0.8981
"02635",NA,68990,3282,3238,0.9866
"02637",NA,NA,53,53,1
"02638",NA,60625,3557,3506,0.9857
"02639",NA,40142,2698,2646,0.9807
"02641",NA,132697,222,222,1
"02642",NA,62091,4903,4832,0.9855
"02643",NA,NA,18,18,1
"02644",NA,92054,4256,4242,0.9967
"02645",NA,69115,9668,9004,0.9313
"02646",NA,70096,1782,1624,0.9113
"02647",NA,124659,108,108,1
"02648",NA,71067,6454,6162,0.9548
"02649",NA,65768,13988,12800,0.9151
"02650",NA,68446,1190,1162,0.9765
"02651",NA,NA,29,29,1
"02652",NA,47039,995,995,1
"02653",NA,58015,5978,5889,0.9851
"02655",NA,68965,3616,3500,0.9679
"02657",NA,41250,2959,2624,0.8868
"02659",NA,50897,806,789,0.9789
"02660",NA,51631,6393,5657,0.8849
"02663",NA,46429,83,83,1
"02664",NA,50561,9342,8776,0.9394
"02666",NA,61408,743,709,0.9542
"02667",NA,45547,2928,2824,0.9645
"02668",NA,87303,2708,2651,0.979
"02669",NA,103693,287,236,0.8223
"02670",NA,56000,1243,1205,0.9694
"02671",NA,42974,755,722,0.9563
"02672",NA,NA,137,137,1
"02673",NA,57094,8574,8041,0.9378
"02675",NA,66064,6345,6147,0.9688
"02702",NA,87740,4651,4536,0.9753
"02703",NA,65141,43774,38071,0.8697
"02713",NA,32500,78,78,1
"02715",NA,88631,3344,3178,0.9504
"02717",NA,87880,4306,4162,0.9666
"02718",NA,86023,6529,6008,0.9202
"02719",NA,60445,15971,15061,0.943
"02720",NA,41576,31091,27362,0.8801
"02721",NA,30743,25557,22040,0.8624
"02723",NA,31255,14403,11606,0.8058
"02724",NA,27737,16882,14819,0.8778
"02725",NA,61875,2629,2538,0.9654
"02726",NA,75657,15633,14953,0.9565
"02738",NA,76607,4935,4553,0.9226
"02739",NA,78216,6138,5980,0.9743
"02740",NA,35174,43513,29348,0.6745
"02743",NA,69180,10339,9865,0.9542
"02744",NA,29663,11589,8700,0.7507
"02745",NA,49640,24641,22159,0.8993
"02746",NA,25872,14755,9293,0.6298
"02747",NA,71674,22790,20426,0.8963
"02748",NA,64808,12160,11215,0.9223
"02760",NA,81259,27177,25311,0.9313
"02762",NA,78516,8581,8078,0.9414
"02763",NA,107083,1602,1593,0.9944
"02764",NA,81067,3837,3803,0.9911
"02766",NA,80806,19280,18141,0.9409
"02767",NA,80019,13588,11727,0.863
"02769",NA,85691,11742,11534,0.9823
"02770",NA,92656,5163,4766,0.9231
"02771",NA,74242,14131,13582,0.9611
"02777",NA,77434,15997,15583,0.9741
"02779",NA,84423,6492,6336,0.976
"02780",NA,50307,49456,43691,0.8834
"02790",NA,81334,16142,15861,0.9826
"02791",NA,72198,127,127,1
"02802",NA,47826,998,998,1
"02804",NA,73393,2413,2354,0.9755
"02806",NA,103937,16290,15186,0.9322
"02807",NA,90526,893,862,0.9653
"02808",NA,72526,2312,1928,0.8339
"02809",NA,60988,22493,21451,0.9537
"02812",NA,114803,1947,1829,0.9394
